기업명,공고명,요약,업무형태
미소,[miso] Product Designer (복사본),UX/UI,상시 출근
미소,[주2회 재택근무] 인하우스 고객센터 민원 부팀장,민원부팀장,출근-재택 혼합
미소,사업 운영 인턴,Product Operations Intern,상시 출근
컨테이너스 주식회사,[병의원/커머스 광고 대행사] 광고기획(AE) 경력직채,"Meta, Google 등 디지털 광고 매체 기반 퍼포먼스 마케팅 운영",상시 출근
힙시스터즈,브랜드 사업운영 매니저,Business Operations Manager,출근-재택 혼합
"DeTect, Inc. (디텍트)",풀스택 엔지니어,레이더 모니터링 및 제어 시스템용 웹 기반 UI,상시 출근
"DeTect, Inc. (디텍트)",기술 프로젝트 매니저,원격탐지 산업의 프로젝트 관리,상시 출근
데브디 주식회사 (집업페이),집업페이 B2B 사업 리드,함께 집업페이를 키워 갈 B2B 사업 리드를 찾습니다.,상시 출근
팀카이,"GTM, Korea 인턴",Go-To-Market 인턴,상시 출근
팀카이,"GTM, Korea (정규직)",Go-To-Market 담당자,상시 출근
팀카이,Agent PM (정규직),LLM 기반 AI Agent 개발 PM,상시 출근
팀카이,Agent Engineer (정규직),LLM 기반 AI Agent 개발,상시 출근
