기업명,그룹사,기업종류,공고명,직무키워드,학력,경력구분,근무지
JW홀딩스,JW그룹,코스피,[JW] 2026년 8월 계약직 2차 수시채용,"조제보조, 생산관리, QC, 제조가공, 제조",대학교(4년)↑,신입 · 계약직,충남 당진시 외
(주)큐아이그룹,,,[프랜차이즈본사] 큐아이그룹 슈퍼바이저(SV) 채용,"가맹점관리, 슈퍼바이저, 매출관리, 브랜드관리, 브랜드확장",학력무관,경력무관 · 계약직,대구 달서구 외
한국캐피탈(주),군인공제회그룹,대기업,한국캐피탈 신입 및 경력직원 공개채용,"감사, 경리, 전산회계, IR/공시, 더존",고졸↑,신입 · 경력 · 정규직 외,서울 중구 외
현대비앤지스틸(주),현대자동차그룹,대기업,현대비앤지스틸㈜ 채용형 인턴 모집 (총무),"총무, 문서작성, 비품관리, 사내행사, 서류관리",대학교(4년)↑,신입 · 인턴직,서울 강남구
롯데패키징솔루션즈(주),롯데그룹,대기업,롯데패키징솔루션즈㈜ 진천공장 공무 오퍼레이터 모집,"기계조작원, 생산관리, 설비OP, 2교대, 3교대",고졸↑,신입 · 정규직,충북 진천군
(주)에이치엘사이언스,에이치엘사이언스그룹,코스닥,㈜에이치엘사이언스 경력직 부문별 채용,"AI(인공지능), CRA(임상연구원), CRM(임상연구전문가), 임상시험, 영업관리",학력무관,신입 · 경력 · 정규직,경기 의왕시 외
(주)연합인포맥스,연합뉴스그룹,,영업 부문 및 IT개발직 채용,"데이터분석가, 데이터엔지니어, 데이터시각화, 클라우드, API",대학교(4년)↑,신입 · 경력 · 정규직,서울 종로구 외
(주)유도,,,(주)유도 신입 및 경력사원 모집,"총무, 문서작성, 사내행사, 사무보조, 사무행정","대학(2,3년)↑",신입 · 경력 · 정규직,경기 화성시 외
동원로엑스냉장(주),동원그룹,대기업,2026년  동원로엑스냉장(주) 입출고 정규직 채용,"물류관리, 창고관리, 배차관리, 보세화물관리, 화물관리","대학(2,3년)↑",경력무관 · 정규직,경남 창원시
(주)다원아이디앤씨,,대기업,[실내인테리어] 공사부/본사 안전관리자 경력•신입 채용,"건설견적원, 건축가, 건축기사, 공무, 시공관리자",고졸↑,신입 · 경력 · 정규직,서울 서초구 외
한성크린텍(주),,코스닥,각 부문 정규직/계약직 모집,"계산서발행, 기계조작원, 품질검사원, QA, QC",대학교(4년)↑,신입 · 경력 · 정규직 외,서울 강남구 외
(주)혜인식품,대인계육유통그룹,,2026 네네치킨 생산본부 신입/경력 채용,"자산관리, 총무, 컴플라이언스, 문서작성, 비품관리",대학교(4년)↑,신입 · 경력 · 정규직,서울 도봉구 외
(주)내츄럴스푸드,,,"생산팀,식품영업,경영지원팀(회계, 구매) 신입/경력 채용","감사, 전산회계, 관리회계, 기업회계, 법인결산",고졸↑,신입 · 경력 · 정규직,충북 진천군 외
(주)현대에버다임,현대백화점그룹,대기업,(주)현대에버다임  회계팀 신입/경력 모집,"관리회계, 기업회계, 세무회계, 회계결산, 회계",대학교(4년)↑,신입 · 경력 · 정규직,충북 진천군
,경찰청그룹,대기업,2026년도 교통직 공개채용 공고,"웹개발, SE(시스템엔지니어), S/W, 사무직, 서무",학력무관,신입 · 경력 · 계약직,서울전체 외
(주)라일,,,(상여200%)무선 이어폰망 생산직 사원 모집,"기계조작원, 생산관리, 설비OP, 품질검사원, 품질관리",고졸↑,경력무관 · 정규직,경북 구미시 외
(주)케이씨씨글라스,케이씨씨그룹,대기업,[KCC글라스] '26년 8월 신입/경력사원 수시 채용,"앱개발, 웹개발, ERP, .NET, Android",학력무관,신입 · 경력 · 정규직 외,서울 서초구 외
근로복지공단 태백병원,,,공무직(전기기계통신기사_기계) 채용 공고,"공조냉동기사, 보일러기사, 안전관리자, 공조설비",학력무관,신입 · 정규직 외,강원 태백시
(주)넷게임즈,넥슨그룹,대기업,[퍼스트 디센던트] 라이팅 아티스트,"조명, 게임디자인, 조명디자인",학력무관,경력무관 · 정규직,서울 강남구
(주)넥슨코리아,넥슨그룹,대기업,[Embers of the Uncrowned] 캐릭터 모델러 (계약직),"게임디자인, 캐릭터디자인, 3D디자인",학력무관,경력무관 · 계약직,경기 성남시 분당구
(주)퍼스트마켓,,,화장품 브랜드사 디자이너 / 해외영업 채용,"사무직, 서무, 총무, 문서작성, 사무보조","대학(2,3년)↑",신입 · 경력 · 정규직,서울 종로구
롯데렌탈(주),롯데그룹,대기업,[롯데렌탈] 구매(Biz) 계약직 채용,"사무직, 문서작성, 서류관리, 자료입력, 자산관리",학력무관,신입 · 경력 · 계약직,서울 강남구
롯데렌탈(주),롯데그룹,대기업,[롯데렌탈] 영업지원(강남) 계약직 채용,"사무직, 문서작성, 사무보조, 서류관리, 자료입력",학력무관,신입 · 계약직,서울 강남구
롯데렌탈(주),롯데그룹,대기업,[롯데렌탈] 중고차매입(안성) 계약직 채용,"기술영업, 영업관리, 영업직, 자동차딜러, 영업전략",학력무관,신입 · 정규직,경기 안성시
(주)한일정밀,,외국계,[㈜한일정밀] 관리/총무팀 전산담당 채용,"전산회계, 관리회계, 기업회계, 원가회계, ERP","대학(2,3년)↑",신입 · 경력 · 정규직,경남 김해시 외
티아이씨(주),통일그룹,외국계,차량생산/기술영업/개발기술팀 채용,"MSSQL, OracleDB, 전산회계, 더존, 전산총무",대학교(4년)↑,신입 · 경력 · 정규직,경남 창원시 외
(주)피알앤디컴퍼니,,,[헤이딜러] 테크니션 통합 채용 (인천),"정비기사, 차량도우미, 고객안내, 고객응대, 기계수리",학력무관,신입 · 경력 · 정규직 외,인천 서해구 외
,한국무역협회그룹,공사·공기업,2027년도 한국무역협회 신입직원 채용,"자산관리, 교육행정, 경영지원, 국제무역사, 무역사무원",학력무관,신입 · 정규직,서울 강남구
(주)비어케이,,,[비어케이] 주류 영업사원 채용(수도권 업소담당),"영업관리, 영업판촉, 주류영업, 주류판매, 거래처관리","대학(2,3년)↑",신입 · 경력 · 계약직,서울 서초구 외
한국보훈복지의료공단,국가보훈부그룹,대기업,[대전보훈병원] 정규직(일반기능직(시설(기계)) 채용 공고,"시설관리, 가스기능사, 공조냉동기사, 기계기사, 소방설계",학력무관,신입 · 경력 · 정규직,대전 대덕구
한국보훈복지의료공단,국가보훈부그룹,대기업,[대전보훈병원] 정규직(일반기능직(시설(영선)) 채용 공고,"시설관리, 일반병원, 종합병원, 안전관리자, 안전보건관리자",학력무관,신입 · 경력 · 정규직,대전 대덕구
한국보훈복지의료공단,국가보훈부그룹,대기업,[대전보훈병원] 정규직(보건직(임상병리사)) 채용 공고,"임상병리사, 진단검사의학과, 일반병원, 종합병원",학력무관,신입 · 경력 · 정규직,대전 대덕구
한국보훈복지의료공단,국가보훈부그룹,대기업,[대전보훈병원] 정규직(보건직(방사선사)) 채용 공고,"방사선사, 영상의학과, 일반병원, 종합병원",학력무관,신입 · 경력 · 정규직,대전 대덕구
슈어소프트테크(주),슈어소프트테크그룹,코스닥,2026 하반기 신입/경력 채용,"기술지원, 백엔드/서버개발, 유지보수, 프론트엔드, QA/테스터",대학교(4년)↑,신입 · 경력 · 정규직,경기 성남시 수정구 외
(주)DYB최선어학원,,대기업,"[직영]각부문 STAFF 채용(고객지원,교육상담)","안내데스크, 교육행정, 사무행정, 학원영업, 고객안내",대학교(4년)↑,신입 · 경력 · 정규직,서울 강남구 외
한국보훈복지의료공단,국가보훈부그룹,대기업,[대전보훈병원] 정규직(기술직(건축)) 채용 공고,"일반병원, 종합병원, 건축가, 건축기사, 시공관리자",학력무관,신입 · 경력 · 정규직,대전 대덕구
(주)에이스테크,,,[국가산단-대기업협력 ] 자동차 부품 생산직 모집,"단순생산직, 사출금형, 조립, 증착, 생산",학력무관,경력무관 · 정규직 외,대구 달성군 외
건축공간연구원,국무조정실그룹,,무기직(행정원) 모집,"사무직, 총무, 문서작성, 사무보조, 사무행정",대학교(4년)↑,경력무관 · 계약직,세종 세종특별자치시
(주)미래비엠,삼구아이앤씨그룹,,이마트 시설관리직 채용,"시설관리, 설비점검, 전기제어, 가스기능사, 공무",고졸↑,신입 · 경력 · 정규직,서울전체 외
한국전력공사,한국전력공사그룹,공사·공기업,기간제근로자(대체인력) 채용공고 [강원본부 강릉지사],"전기설계, 전기제어, 전기기사, 배전반설계, 전기설비",학력무관,경력무관 · 계약직,강원 강릉시
,,,인공지능 기반 실시간 진료기록 생성 기술 연구 개발 (체험형 인턴),"딥러닝, 머신러닝, NLP(자연어처리), AI(인공지능), AIX",석사↑,신입 · 경력 · 인턴직,경기 성남시 분당구
근로복지공단 강원지역본부,,,기간제 사무원(휴직대체) 채용,"사무직, 총무, 문서작성, 사무보조, 사무행정",학력무관,신입 · 계약직,강원 원주시
,,,의료 도메인에서의 Agentic RAG 연구 및 개발 (체험형 인턴),"AI(인공지능), AIX, Git, 연구원, R&D",석사↑,신입 · 경력 · 인턴직,경기 성남시 분당구
,현대자동차그룹,대기업,현대제철 포항공장 기술직(계약) 채용,"기계설계, 전기설계, 전기제어, 압연, 전기용접",학력무관,경력무관 · 인턴직,경북 포항시
한국장애인고용공단,고용노동부그룹,공사·공기업,[대전지역본부] 기간제 근로자(체험형 청년인턴) 채용 재공고,"평생교육사, 사무직, 사회복지사, 생활복지사",학력무관,경력무관 · 인턴직,대전 서구
국립박물관문화재단,문화체육관광부그룹,공사·공기업,2026년 3차 직원 채용(총무/회계(휴직대체)),"전표입력, 서무, 총무, 문서작성, 복리후생",학력무관,경력무관 · 계약직,서울 용산구
농업회사법인(주)일등농산,,,[월 296만원] 배송직원 정규직 추가모집 (주5일제 근무/주말 및 공휴일 휴무),"납품운전원, 라이더(배달원), 물류기사, 배송기사, 버스기사",학력무관,경력무관 · 정규직,충남 천안시 동남구 외
한국생명공학연구원,,공사·공기업,2026-4차 계약직(장애인 제한경쟁) 채용,"경리, 전산회계, 사무행정, 서류관리, 자산관리",학력무관,경력무관 · 계약직,대전 유성구 외
국립박물관문화재단,문화체육관광부그룹,공사·공기업,2026년 3차 직원 채용(식음료사업 서비스 품질관리),"고객관리, 매장관리, 매장매니저, 박물관, 서비스기획",학력무관,경력무관 · 계약직,서울 용산구
대구지방환경청,,,2026년 하반기 청년인턴 채용 공고,"사무직, 사무보조, 사무행정",학력무관,경력무관 · 인턴직,대구 달서구
국립박물관문화재단,문화체육관광부그룹,공사·공기업,2026년 3차 직원 채용(상품기획(휴직대체)),"박물관, 사업기획, 상품기획, 사업개발, 사업관리",학력무관,경력무관 · 계약직,서울 용산구
케이오씨(주),,외국계,화학제조 생산직 신입 모집 (정규직),생산,고졸↑,신입 · 정규직,울산 울주군 외
남선석유(주),,,남선석유㈜ 목포저유소 저유관리사원 모집,"시설관리, 전동지게차, 지게차, 판매직, 거래처관리",고졸↑,신입 · 경력 · 정규직,전남광주 영암군 외
국립박물관문화재단,문화체육관광부그룹,공사·공기업,2026년 3차 직원 채용(상품관 운영(익산)),"매장관리, 미화원, 고객안내, 고객응대, 박물관",학력무관,경력무관 · 계약직,전북 익산시
한강홍수통제소,,,2026년 하반기 청년인턴 채용 공고,"시설관리, 전기설계, 건축전기, 전기설비, 전기시공",학력무관,경력무관 · 인턴직,서울 서초구
(주)와우바이오텍,,대기업,[RE4DAY] 튀르키예 인플루언서 마케터,"시장조사, 이커머스, 채널관리, 판매전략, 프로모션기획",학력무관,신입 · 경력 · 정규직,서울 영등포구 외
국립박물관문화재단,문화체육관광부그룹,공사·공기업,2026년 3차 직원 채용(VMD),"VMD, 공간디자인, 전시디자인",학력무관,경력무관 · 계약직,서울 용산구
국립박물관문화재단,문화체육관광부그룹,공사·공기업,2026년 3차 직원 채용(해외 전용 온라인숍 운영),"해외시장개척, 해외영업, 쇼핑몰관리, 해외영업관리, 해외영업지원",학력무관,경력무관 · 정규직,서울 용산구
