날짜,종가,전일비,시가,고가,저가,거래량
2025.09.10,72600,상승1100,71800,72800,71600,21928565
2025.09.09,71500,상승1400,70100,71500,70000,14870245
2025.09.08,70100,상승600,69800,70500,69600,9263135
2025.09.05,69500,하락600,70300,70400,69500,11526724
2025.09.04,70100,상승300,69500,70100,69300,12284414
2025.09.03,69800,상승700,69200,69800,68800,10283009
2025.09.02,69100,상승1500,67800,69500,67800,10604028
2025.09.01,67600,하락2100,68400,68600,67500,12002343
2025.08.29,69700,상승100,70100,70500,69700,11682267
2025.08.28,69600,하락1000,70100,70400,69600,11578024
2025.08.27,70600,상승300,70100,70900,69800,10523405
2025.08.26,70300,하락1200,70800,71100,70300,14712519
2025.08.25,71500,상승100,71700,71800,71000,10345178
2025.08.22,71400,상승800,71700,71800,70800,9277432
