카테고리,제목,저자,정가,할인가격,이미지
[국내도서],사랑의 기술,"에리히 프롬 (지은이), 강주헌 (옮긴이)","18,800원","16,920원",https://image.aladin.co.kr/img/search/icon_arrow.jpg
[국내도서],해커스 토익 기출 VOCA (보카),- 주제별 연상암기로 토익 영단어 30일 완성! RC/LC 필수 토익 보카 [최신 기출 어휘+출제포인트 수록ㅣ단어암기 어플 제공] David Cho (지은이),"12,900원","11,610원",
[국내도서],2027 공단기 써니 행정법총론 기본서 - 전2권,박준철 (지은이),"44,000원","39,600원",
[국내도서],깨달은 들짐승처럼 살기로 했다,- 불안과 비교에 휘둘리지 않는 삶의 태도 한그루(뉴욕털게) (지은이),"18,000원","16,200원",https://image.aladin.co.kr/img/search/icon_arrow.jpg
[국내도서],슬로 호시스,"ㅣ 슬라우 하우스 믹 헤런 (지은이), 권영주 (옮긴이)","19,000원","17,100원",
[국내도서],너는 원래 괜찮은 사람이야,- 불안한 시간을 건너는 너에게 들려주는 35가지 다정한 말 Choice 윤지영(오뚝이샘) (지은이),"19,000원","17,100원",
[국내도서],언어화를 위한 소설 사고,"- 모호한 아이디어를 독자에게 전달되는 말로 바꾸는 힘 오가와 사토시 (지은이), 박대겸 (옮긴이)","17,000원","15,300원",https://image.aladin.co.kr/img/search/icon_arrow.jpg
[국내도서],부의 점프,"- 포트폴리오를 버린 날, 부의 점프가 시작됐다 상승미소(이명로) (지은이)","22,000원","19,800원",
[국내도서],인생을 위한 최소한의 생각,"신영준 , 고영성 (지은이)","19,800원","17,820원",https://image.aladin.co.kr/img/search/icon_arrow.jpg
[국내도서],구의 증명,ㅣ 은행나무 시리즈 N°(노벨라) 7 Choice 최진영 (지은이),"12,000원","10,800원",https://image.aladin.co.kr/img/search/icon_arrow.jpg
[국내도서],용의자 X의 헌신,"- 제134회 나오키상 수상작 ㅣ 탐정 갈릴레오 시리즈 3 Choice 히가시노 게이고 (지은이), 양억관 (옮긴이)","18,800원","16,920원",
[국내도서],매스커레이드 라이프,"ㅣ 매스커레이드 시리즈 히가시노 게이고 (지은이), 김은모 (옮긴이)","20,000원","18,000원",https://image.aladin.co.kr/img/search/icon_arrow.jpg
[국내도서],남편을 내 편으로 만드는 방법 5 (한정판),"- 단행본 + 학생 AU 아크릴 스탠드 + 떡메모지 + 파노라마 미니 포스터 4종 + 트레이딩 카드 9종 + 이스케&루비 엽서 4종 + 초판 한정 부록 엽서 시루 (지은이), 냥이와향신료 (원작)","39,800원","35,820원",
[국내도서],"2026 큰별쌤 최태성의 별★별한국사 기출 500제 한국사능력검정시험 심화 (1, 2, 3급)","- 2026 시험 대비, 76~67회 수록 ㅣ 큰별쌤 최태성의 별★별한국사 한국사능력검정시험 시리즈 최태성 (지은이)","22,000원","19,800원",
[국내도서],복숭아와 애벌레,> 트레이(대상도서 포함 유아 3만원 이상) [국내도서] 복숭아와 애벌레 안녕달 (지은이),"16,800원","15,120원",
[국내도서],팬텀 버스터즈 7 (한정판),"- CD 라벨풍 스티커 + CD 자켓풍 일러스트 카드 2종 + 아크릴 키링 4종, M형 티켓 + 양면 어나더 커버 + 초판 한정 일러스트 카드, S코믹스 네오쇼코 (지은이), 김지혜 (옮긴이)","30,000원","27,000원",
[국내도서],손끝과 연연 13,모리시타 수 (지은이),"6,000원","5,400원",
[국내도서],긴긴밤,- 제21회 문학동네어린이문학상 대상 수상작 ㅣ 보름달문고 83 Choice 루리 (지은이),"12,500원","11,250원",https://image.aladin.co.kr/img/search/icon_arrow.jpg
[국내도서],진보를 위한 현대사 수업,"- 민주주의 시대, 지금 우리가 가장 먼저 들어야 할 한국사 특강 20 배기성 (지은이)","22,000원","19,800원",https://image.aladin.co.kr/img/search/icon_arrow.jpg
[국내도서],NEW 가장 쉬운 독학 일본어 첫걸음,"- 30일 완성! 발음에서 회화까지 한 번에 끝! ㅣ NEW 가장 쉬운 독학 시리즈 김연수 , 주인원 (지은이)","17,500원","15,750원",
[국내도서],THE ODYSSEY 오뒷세이아,- 흔들리는 인간에 대하여 조태경 (지은이),"19,800원","17,820원",
[국내도서],13.67,"- 개정판 찬호께이 (지은이), 강초아 (옮긴이)","19,000원","17,100원",https://image.aladin.co.kr/img/search/icon_arrow.jpg
[국내도서],2027 공단기 심슨 보카,ㅣ 2027 심우철 공무원 영어 기본서 시리즈 심우철 (지은이),"26,000원","23,400원",
[국내도서],니체와 함께 지적 대화를,양원근 (지은이),"18,800원","16,920원",https://image.aladin.co.kr/img/search/icon_arrow.jpg
[국내도서],일리아스,"호메로스 (지은이), 이준석 (옮긴이)","35,000원","31,500원",https://image.aladin.co.kr/img/search/icon_arrow.jpg
[국내도서],그해 선우는,"ㅣ 책 읽는 샤미 65 임지형 (지은이), 양양 (그림)","15,800원","14,220원",
[국내도서],다정한 사람이 이긴다 (스페셜 양장 리커버 개정판),"- 사람을 남기는 말, 관계를 바꾸는 태도 Choice 이해인 (지은이)","19,000원","17,100원",https://image.aladin.co.kr/img/search/icon_arrow.jpg
[국내도서],인생에 한번은 오디세이아,"- 삶이 흔들릴 때 나를 지키는 고전 수업 샘 아크바 (지은이), 박미경 (옮긴이)","19,500원","17,550원",https://image.aladin.co.kr/img/search/icon_arrow.jpg
[국내도서],쇼펜하우어 인생수업 : 한 번뿐인 삶 이렇게 살아라 (30만 부 기념 개정증보판),"ㅣ 인생수업 아르투어 쇼펜하우어 (지은이), 김지민 (엮은이)","17,500원","15,750원",https://image.aladin.co.kr/img/search/icon_arrow.jpg
[국내도서],말랑말랑 밋다다의 SD 캐릭터 그리기,밋다다 (지은이),"20,000원","18,000원",https://image.aladin.co.kr/img/search/icon_arrow.jpg
[국내도서],낙하 (알라딘 리커버 특별판),이희영 (지은이),"17,000원","15,300원",https://image.aladin.co.kr/img/search/icon_arrow.jpg
[국내도서],빅터 프랭클의 죽음의 수용소에서,"- 한국어판 발매 20주년 기념판 빅터 프랭클 (지은이), 이시형 (옮긴이)","12,000원","10,800원",
[국내도서],김헌의 그리스 로마 신화,김헌 (지은이),"20,000원","18,000원",https://image.aladin.co.kr/img/search/icon_arrow.jpg
[국내도서],돈의 심리학 (50만 부 기념 뉴 에디션),"- 당신은 왜 부자가 되지 못했는가 (보너스 스토리 수록) 모건 하우절 (지은이), 이지연 (옮긴이)","24,800원","22,320원",https://image.aladin.co.kr/img/search/icon_arrow.jpg
[국내도서],2027 공단기 선재국어 한 권으로 끝장내는 올인원 공무원 국어,이선재 (지은이),"29,000원","26,100원",
[국내도서],오만과 편견,"ㅣ 민음사 세계문학전집 88 제인 오스틴 (지은이), 윤지관 , 전승희 (옮긴이)","13,000원","11,700원",https://image.aladin.co.kr/img/search/icon_arrow.jpg
[국내도서],하나님께 내 삶을 드린다는 것,"- 기도와 예배를 넘어 인생 전체를 드리는 그리스도인 ㅣ 세계기독교고전 6 윌리엄 로 (지은이), 앤드류 머레이 (엮은이), 서문강 (옮긴이)","16,900원","15,210원",https://image.aladin.co.kr/img/search/icon_arrow.jpg
[국내도서],박곰희 연금 부자 수업 (25만 부 기념 리미티드 에디션),- 4개의 통장으로 월 300만 원 만들기 박곰희 (지은이),"21,000원","18,900원",
[국내도서],우린 반드시 행복해진다,조성용(흔글) (지은이),"18,500원","16,650원",https://image.aladin.co.kr/img/search/icon_arrow.jpg
[국내도서],한권으로 읽는 오디세이아,"- 크리스토퍼 놀란 감독 영화 <오디세이> 원작 호메로스 (지은이), 육혜원 (옮긴이)","21,000원","18,900원",
[국내도서],GACHIAKUTA 18,"케이 우라나 (지은이), 히데요시 안도 (그림)","7,000원","6,300원",
